Category,Evidence,Quality,autoimmune,Parent,Disease,Syn,SNOMED,ConceptID,Profile,pubmed,Citation,prevtype,Prevalence_Description,prevnotes,min_rate,max_rate, denom , us_cases_min ,us_cases_max,us_cases_mean,rateper100k,Antibodies,Rose_Mackay Citation,Pubmed Evidence (incomplete)
Musculoskeletal,Antibody,Strong,Autoimmune,Juvenile Rheumatoid Arthritis,Juvenile arthritis,S,410795001,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Antibody,Strong,Autoimmune,Juvenile Rheumatoid Arthritis,Juvenile idiopathic arthritis,S,410795001,4259507,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Antibody,Strong,Autoimmune,Juvenile Rheumatoid Arthritis,Pediatric rheumatic disease,S,410795001,,,,,,,,,,,0,0,0, -   ,,,
Skin,Unconfirmed,Unconfirmed,Unconfirmed,Lichen planus,Lichen planus,N,4776004,132703,"Lichen planus is a recurrent, itchy rash, characterized by shiny reddish-purple spots on the skin and gray-white ones in the mouth. Separate spots may coalesce into rough scaly patches. It is not rare, but it is  

Most papers on lichen planus assume all cases of the disease are autoimmune or do not mention autoimmunity at all.  It may be a symptom of other autoimmune diseases.   ",https://pubmed.ncbi.nlm.nih.gov/34920026/,Leasure 2022,P,,,0.36,0.42, 100 ," 933,480 "," 1,089,060 "," 1,011,270 ", 303.4 ,,"The prototype is lichen planus for which no single specific cause has been identified, although one interesting association is infection with hepatitis C virus (Le Cleach et al., 2010). The lichenoid eruption described as lichen sclerosus is, however, consistently linked to autoimmunity.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Skin,Immune-mediated,Moderate,Autoimmune,Lichen sclerosus,Lichen sclerosus et atrophicus,U,25674000,4119189,,,,,,,,,,0,0,0, -   ,,,
Skin,Immune-mediated,Moderate,Autoimmune,Lichen sclerosus,Lichen sclerosus,N,895454001,619430,"Lichen sclerosus causes patches of skin to look white, thickened and crinkly. It most often affects the skin around the vulva or anus.There is circumstantial evidence that lichen sclerosus is autoimmune but no clear evidence to support it.  ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7522895/,Melnick 2020,P,"50.0 cases per 100,000","We identified 10,004 women with a diagnosis of LS between 2015 and 2017 in the United States, which is a prevalence of 0.05%.",50,," 100,000 "," 166,650 "," 166,650 "," 166,650 ", 50.0 ,,"The lichenoid eruption described as lichen sclerosus is, however, consistently linked to autoimmunity.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",multiple caviate with likely multiple say it is autoimmune https://pubmed.ncbi.nlm.nih.gov/?term=%22Lichen+sclerosus%22+%22autoimmune%22&sort=date
Skin,Immune-mediated,Moderate,Autoimmune,Lichen sclerosus,Balanitis xerotica obliterans,S,895454001,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Unconfirmed,Strong,Unconfirmed,Ligneous conjunctivitis,Ligneous conjunctivitis,N,403435005,4296491,"Ligneous conjunctivitis is a rare, chronic form of conjunctivitis that starts in adulthood. A genetically caused form of the disease can occur in childhood, but these cases are not autoimmune.  Patients with ligneous conjunctivitis have large, inflamed, woody growths on the inside of the eyelid and potentially whites of the eye.  These growths may also occur in the mouth, ears, respiratory tract, and genitourinary tract. The inflamed growths are likely to come back after they have been removed. If untreated, ligneous conjunctivitis can lead to vision loss and sometimes life-threatening pulmonary complications.   ",CONFIRMED NO DATA Sept 2021,No studies found,P,Autoimmune form is very rare," Extremely rare, no published data ",,,0, 50 , 50 , 50 , 0.0 ,,No mention,
Nervous System,Unconfirmed,Strong,Unconfirmed,Ligneous conjunctivitis,Adult Onset Ligneous conjunctivitis,S,403435005,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Unconfirmed,Strong,Unconfirmed,Ligneous conjunctivitis,Autoimmune ligneous conjunctivitis,S,403435005,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Unconfirmed,Strong,Unconfirmed,Ligneous conjunctivitis,Conjunctivitis lignose,S,403435005,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Moderate,Autoimmune,Linear IgA dermatosis,Linear IgA dermatosis,N,95330001,4317262,Linear IgA disease causes blisters to form deep in the skin. It can affect the skin and mucus membranes such as the mouth and genitals. Its name comes from the image produced during a skin biopsy in which a line of IgA antibodies can be found just below the outer layer of skin (the epidermis). ,https://pubmed.ncbi.nlm.nih.gov/22137225/,Fortuna 2012,P,".05 to .23 cases per 100,000",,0.05,0.23," 100,000 ", 167 , 767 , 467 , 0.1 ,,"Linear IgA disease (LAD) is a subepidermal blistering disorder characterized by pruritic lesions and linear deposition of IgA autoantibodies at the BMZ (Nemzer et al., 2000). Mucosal membrane involvement is common (60–80%). LAD can be subdivided into adult-onset, childhood-onset, and drug-induced LAD (Zone et al., 2004). The histology of lesional and perilesional skin reveals subepidermal vesicles with neutrophilic infiltration along the BMZ and in the superficial dermis. IgA autoantibodies in LAD serum react with multiple antigenic peptides derived from the BP180 ectodomain. The most common antigenic peptides for the major type of LAD (lamina lucida type), detected by immunoblotting using epidermal extracts, are the 97-kDa protein (LABD97) and the 120-kDa antigens (LAD-1), which are considered to be the proteolytic fragments of the BP180 polypeptide (Zone et al., 2004). These findings suggest that the majority of LAD autoantibodies recognize epitopes on LABD97 and LAD-1, which are different from those bound by BP autoantibodies on the intact BP180 molecule.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",https://pubmed.ncbi.nlm.nih.gov/?term=%22Linear+IgA+disease%22+%22autoimmune%22&sort=date
Vascular system,Antibody,Moderate,Autoimmune,Linear IgA dermatosis,Chronic bullous dermatosis of childhood,S,95330001,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Moderate,Autoimmune,Linear IgA dermatosis,Linear IgA bullous disease,S,95330001,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Moderate,Autoimmune,Linear IgA dermatosis,Linear IgA disease,S,95330001,4317262,,https://pubmed.ncbi.nlm.nih.gov/22137225/,Fortuna 2012,P,".05 to .23 cases per 100,000",,0.05,0.23," 100,000 ", 167 , 767 , 467 , 0.1 ,,"Linear IgA disease (LAD) is a subepidermal blistering disorder characterized by pruritic lesions and linear deposition of IgA autoantibodies at the BMZ (Nemzer et al., 2000). Mucosal membrane involvement is common (60–80%). LAD can be subdivided into adult-onset, childhood-onset, and drug-induced LAD (Zone et al., 2004). The histology of lesional and perilesional skin reveals subepidermal vesicles with neutrophilic infiltration along the BMZ and in the superficial dermis. IgA autoantibodies in LAD serum react with multiple antigenic peptides derived from the BP180 ectodomain. The most common antigenic peptides for the major type of LAD (lamina lucida type), detected by immunoblotting using epidermal extracts, are the 97-kDa protein (LABD97) and the 120-kDa antigens (LAD-1), which are considered to be the proteolytic fragments of the BP180 polypeptide (Zone et al., 2004). These findings suggest that the majority of LAD autoantibodies recognize epitopes on LABD97 and LAD-1, which are different from those bound by BP autoantibodies on the intact BP180 molecule.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",https://pubmed.ncbi.nlm.nih.gov/?term=%22Linear+IgA+disease%22+%22autoimmune%22&sort=date
Musculoskeletal,Unconfirmed,Unconfirmed,Unconfirmed,Lipomatosis dolorosa,Lipomatosis dolorosa,N,71404003,4324974,"Adiposis dolorosa is characterized by the slow formation of multiple, painful growths consisting of fatty tissue (lipomas) that are found just below the surface of the skin. Pain may vary from mild discomfort when a growth is pressed or touched to severe pain that is disproportionate to the physical findings.",https://www.ncbi.nlm.nih.gov/books/NBK507867/,Cook 2020,P,Extremely rare," Extremely rare, no published data ",,,, 50 , 50 , 50 , 0.0 ,,No mention,
Musculoskeletal,Unconfirmed,Unconfirmed,Unconfirmed,Lipomatosis dolorosa,Adiposis dolorosa,S,71404003,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Unconfirmed,Unconfirmed,Unconfirmed,Lipomatosis dolorosa,Anders disease,S,71404003,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Unconfirmed,Unconfirmed,Unconfirmed,Lipomatosis dolorosa,Dercum's disease,S,71404003,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Unconfirmed,Unconfirmed,Unconfirmed,Lipomatosis dolorosa,Fatty tissue rheumatism,S,71404003,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Unconfirmed,Unconfirmed,Unconfirmed,Lipomatosis dolorosa,Juxta-Articular adiposis dolorosa,S,71404003,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Unconfirmed,Unconfirmed,Unconfirmed,Lipomatosis dolorosa,Lipomatosis dolorosa morbus dercum's,S,71404003,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Lupus vasculitis,Lupus vasculitis,N,239944008,4344495,"Lupus vasculitis is an autoimmune complication of lupus erythematosus that occurs when proteins of the immune system enter the walls of the blood vessels, leading to inflammation.  Patients often experience ulcers, red marks, or bumps on the skin.  The spectrum of involvement ranges from relatively mild disease (affecting only small vessels and skin), to life threatening multi-organ disease. Treatments are available to control symptoms.  Early medical attention is necessary in severe cases to prevent lasting damage to the organs.",https://pubmed.ncbi.nlm.nih.gov/16609348/,Ramos-Casals 2006,P,11% of lupus patients, Based on percentage of patients with lupus ,7.931,8.184," 100,000 "," 26,434 "," 27,277.27 "," 26,856 ", 8.1 ,,Subtype of lupus,
Glands,Antibody,Strong,Autoimmune,Male infertility associated with antisperm antibodies,Male infertility associated with antisperm antibodies,N,414643008,4212192,"Autoimmune orchitis involves inflammation of the testicles and the presence of specific antibodies against sperm. There are two types of this condition: primary autoimmune orchitis and secondary autoimmune orchitis. Primary autoimmune orchitis is found in men who are infertile and have no symptoms of other diseases. It is characterized by inflammation in the testicles and the presence of antibodies targeting the structures in the testicles. Men with this condition do not have any systemic illnesses and usually show no symptoms. 

Secondary autoimmune orchitis occurs in men with a systemic autoimmune disease, especially those with conditions like vasculitis. About 50% of these patients have antibodies against sperm, with systemic lupus erythematosus being a common related condition.

The exact cause of both primary and secondary autoimmune orchitis is still unknown, but it is believed to be due to a combination of factors. Inflammation, infection, or injury to the testicles may trigger an immune response, leading to the production of antibodies against sperm. These antibodies can cause sperm to clump together or become immobilized, preventing them from fertilizing an egg and leading to infertility.",https://pubmed.ncbi.nlm.nih.gov/8276524/,Sinisi 1993,P,Extremely rare,No data,,,, 50 , 50 , 50 , 0.0 ,,"The slow progress in clinical research is in part explained by the success of assisted reproduction techniques that partly overcome the adverse effects of antisperm antibodies. Nonetheless, the experimental studies have yielded exceptional information on the fundamental mechanisms of tolerance and autoimmunity.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Glands,Antibody,Strong,Autoimmune,Male infertility associated with antisperm antibodies,Autoimmune orchitis,S,414643008,4212192,,CONFIRMED NO DATA Sept 2021,No studies found,P,Extremely rare," Extremely rare, no published data ",,,0, 50 , 50 , 50 , 0.0 ,,"Two types of human orchitis with possible autoimmune basis are reported. The first is granulomatous orchitis of non-infectious origin. The second and more common type of orchitis contains multiple foci of monocytic inflammation (Suominen and Söderström 1982; Chan and Schlegel, 2002a,b) (Figure 68.1B)...
The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Digestive system,Unconfirmed,Unconfirmed,Unconfirmed,Microscopic colitis,Microscopic colitis,N,235753003,4340799,"Microscopic colitis occurs with severe inflammation of the large intestine, or the colon. It results in persistent and watery diarrhea. Microscopic colitis can''t be identified with a colonoscopy, so tissue samples from the colon must be examined under a microscope. There are three different subtypes:<br> 
<li>1. <b>Collagenous colitis</b> results from a thick layer of the protein collagen developing in the tissue.</li>
<li>2. <b>Lymphocytic colitis</b> results from an increase in white blood cells in the tissue. </li>
<li>3. <b>Incomplete microscopic colitis</b> is a combination of collagenous and lymphocytic colitis. </li>
It is under debate whether collagenous and lymphocytic colitis are different phases of the same condition. ",https://pubmed.ncbi.nlm.nih.gov/17135309/,Pardi 2006,P,"103.0 cases per 100,000",,103,," 100,000 "," 343,299 "," 343,299 "," 343,299 ", 103.0 ,,No mention,
Vascular system,Antibody,Strong,Autoimmune,Microscopic polyangiitis,Microscopic polyangiitis,N,1144805008,606328,"Microscopic polyangiitis (MPA) is a disorder that causes inflammation in the blood vessels. The inflammation can affect many of the body's organ systems including the kidneys, nervous system, skin, lungs, etc. Microscopic polyangiitis is believed to be autoimmune because the development of the disease is thought to come from an overreaction in the immune system that causes inflammation in the body's tissues and blood vessels. The disease can be confused with others such as polyarteritis nodosa (PAN), granulomatosis with polyangiitis (GPA), and cutaneous leukocytoclastic angiitis (CLA). However, in 1994, The Chapel Hill Consensus Conference defined MPA as a separate disorder. ",,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Microscopic polyangiitis,MPA,A,1144805008,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Microscopic polyangiitis,Microscopic polyarteritis,S,1144805008,606328,,,,,,,,,,0,0,0, -   ,,,
Systemic,Antibody,Strong,Autoimmune,Mixed collagen vascular disease,MCTD,A,398049005,,,,,,,,,,,0,0,0, -   ,,,
Systemic,Antibody,Strong,Autoimmune,Mixed collagen vascular disease,Mixed collagen vascular disease,N,398049005,4134867,"Mixed collagen vascular disease, also called mixed connective tissue disease (MCTD), is an autoimmune disorder that shares symptoms with other connective tissue diseases, including polymyositis/dermatomyositis, systemic lupus erythematosus (SLE), scleroderma, and autoimmune rheumatic diseases.  Examples of commonly shared symptoms are abnormally cold hands, joint pain, organ problems, and feelings of malaise.  However, one feature unique to MCTD is the presence of anti-RNP antibodies in the blood.  Raynaud's phenomenon and high blood pressure in the lungs are also more common in MCTD, while kidney symptoms are milder.  Some complications can be fatal, but treatments are available to manage both mild and life-threatening symptoms.   [Hajas et al., 2013].",https://pubmed.ncbi.nlm.nih.gov/21398332/ ,Gunnarsson 2011,P,"3.2 to 4.4 cases per 100,000", Prevalence in adult population (over-18) ,3.2,4.4," 100,000 "," 8,298 "," 11,409 "," 9,853 ", 3.0 ,,Subtype of scleroderma,
Systemic,Antibody,Strong,Autoimmune,Mixed collagen vascular disease,Mixed connective tissue disease,S,398049005,4134867,,https://pubmed.ncbi.nlm.nih.gov/21398332/ ,Gunnarsson 2011,P,"3.2 to 4.4 cases per 100,000", Prevalence in adult population (over-18) ,3.2,4.4," 100,000 "," 8,298 "," 11,409 "," 9,853 ", 3.0 ,,Subtype of scleroderma,
Systemic,Antibody,Strong,Autoimmune,Mixed collagen vascular disease,Sharp Syndrome,S,398049005,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Unconfirmed,Unconfirmed,Unconfirmed,Mooren's ulcer,Mooren's ulcer,N,22440001,435271,"Mooren's Ulcer is a chronic eye condition that causes inflammation where the eye's covering (cornea) joins with the white part of the eye (sclera).  This type of inflammation is called Peripheral Ulcerative Keratitis (PUK).  These persistent peripheral ulcers of the cornea often spread into and around the eye. There are several variants of this disorder:  Aggressive Bilateral Mooren's Ulcers patients usually have an ulcer in one eye and congestion or discharge in the other eye. Pain is milder, and grey patches may develop within 2 mm of the border between the cornea and the white of the eye (limbus). Bilateral Indolent Mooren's Ulcers affect both eyes, with one eye typically showing more severity.  Discomfort may occur with minimal inflammation.  Unilateral Mooren's ulcers can occur in one or both eyes and is excessively painful.  Redness and congestion are apparent, but inflammation is seen within 3 mm of the limbus.    Mooren's Ulcer is believed to be an autoimmune disorder, but more research is needed.  The condition can be benign, with few symptoms and low risk of complications, or malignant, with severe symptoms.  Without medical care, malignant cases may lead to vision loss, but treatments are available to prevent this.",CONFIRMED NO DATA Sept 2021,No studies found,P,Extremely rare," Extremely rare, no published data ",,,0, 50 , 50 , 50 , 0.0 ,,No mention,
Nervous System,Unconfirmed,Unconfirmed,Unconfirmed,Mooren's ulcer,Corneal Ulcer,S,22440001,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Unconfirmed,Unconfirmed,Unconfirmed,Mooren's ulcer,Peripheral Ulcerative Keratitis,S,22440001,,,,,,,,,,,0,0,0, -   ,,,
Skin,Unconfirmed,Moderate,Unconfirmed,Morphea,Localized scleroderma,T,201048007,441928,,https://pubmed.ncbi.nlm.nih.gov/30047431/,Florez-Pollack 2018,P,".4 to 2.7 cases per 100,000",,0.4,2.7," 100,000 "," 1,333 "," 8,999 "," 5,166 ", 1.6 ,,Limited discussion,
Skin,Unconfirmed,Moderate,Unconfirmed,Morphea,Morphea,N,201049004,4066845,"Morphea is a disorder primarily affecting the skin.  There are several types of morphea:Localized or circumscribed morphea causes patients to develop oval-shaped areas of redness.  Irritated skin may be limited to a single patch or to several patches covering a smaller area.  

Generalized morphea is more widespread, affecting a number of skin regions throughout the body.  In linear morphea, skin irritation appears in a linear, rather than an oval shape.  Damage can penetrate to the tissues below the skin, including muscle and bone.  

Pansclerotic morphea,  the rarest and most severe form, usually affect children and involves the entire body, also penetrating through the skin into the bone.  The cause of morphea is unknown but is believed to be autoimmune.  

There is no cure for morphea, but treatments are available to manage symptoms.  Patches of irritation caused by mild types of morphea often improve in 3-5 years, though new patches may develop. However, damage affecting both the skin and the muscles/bones, as in linear morphea, may have a longer duration and occur in cycles of flares and remission, while pansclerotic morphea tends to worsen significantly with time.  Both linear and pansclerotic morphea may cause severe disability.",https://pubmed.ncbi.nlm.nih.gov/30047431/,Florez-Pollack 2018,P,".4 to 2.7 cases per 100,000",,0.4,2.7," 100,000 "," 1,333 "," 8,999 "," 5,166 ", 1.6 ,,Limited discussion,
Vascular system,Unconfirmed,Unconfirmed,Unconfirmed,Moyamoya disease,Moyamoya disease,N,69116000,378774,"Moyamoya disease occurs when the carotid artery, that brings blood to the brain, in the skull is blocked or narrowed. The term ""moyamoya"" is Japanese and means ""puff of smoke"" to describe the appearance of the tiny blood vessels responsible for the blockage. When these blockages occurs, they can cause a ministroke and bleeding in the brain. Moyamoya disease affects brain functions and may cause cognitive and developmental delays or disability.

Although this rare disease most commonly affects children, adults may have this condition as well. The cause for Moyamoya disease is unknown, however, researchers suggest that there may be a genetic factor involved since the disease is most commonly seen in Asian countries.",,,,,,,,,0,0,0, -   ,,,
Vascular system,Unconfirmed,Unconfirmed,Unconfirmed,Moyamoya disease,Cerebrovascular moyamoya disease,S,69116000,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Unconfirmed,Unconfirmed,Unconfirmed,Moyamoya disease,Moya-moya disease,S,69116000,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Unconfirmed,Unconfirmed,Unconfirmed,Moyamoya disease,Progressive intracranial arterial occlusion,S,69116000,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Unconfirmed,Unconfirmed,Unconfirmed,Moyamoya disease,Progressive intracranial occlusive arteriopathy,S,69116000,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Unconfirmed,Unconfirmed,Unconfirmed,Moyamoya disease,Spontaneous occlusion of the Circle of Willis,S,69116000,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Multiple Sclerosis,MS,A,24700007,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Multiple sclerosis,Multiple sclerosis,N,24700007,374919,"Multiple Sclerosis (MS) is a central nervous system disease that occurs when the immune system attacks the myelin, which is a protective covering around the nerves. The nerves may then suffer permanent damage. The cause of the abnormal immune system action is unknown, but there seems to be some genetic link. The most common form of MS is relapsing-remitting which occurs when a patient has symptom-free periods, but the patient may develop a progressive form where the symptoms worsen over time. Women are affected twice as often as men. MS varies in severity, with some people losing the ability to walk.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6442006/,Wallin 2019,P,"308.1 to 310.1 cases per 100,000", Prevalence in over-18 population ,308.1,310.1," 100,000 "," 798,903 "," 804,089 "," 801,496 ", 240.5 ,,"Autoantigen-specific T cells have been identified both in healthy individuals and in patients with MS. Their entrance into the inflamed CNS environment is likely mediated by the immune mechanisms posited above, whereupon entering, the autoreactive T cells are able to subsequently contribute to myelin destruction and axonal damage in addition to secondary inflammation following activation by local antigen-presenting cells. Attention has been directed towards uncovering frequencies of autoantigen-specific T cell binding to myelin proteins including MOG, MBP, and proteolipid in addition to heat shock protein αB-crystallin and oligodendroglia-specific enzyme transaldolase in CD4+ cells isolated from MS patients (Banki et al., 1994; Greer and Pender, 2008). Anti-MOG has previously been isolated from postmortem CNS tissue in MS patients (O'Connor et al., 2005). In an assay based on self-assembly of radiolabeled MHC tetramers, it was demonstrated that such tetramers were more sensitive for MOG autoantibody detection. Nevertheless, MOG-specific autoantibodies were found more so in patients with acute disseminated encephalomyelitis, than in adults with MS (O'Connor et al., 2007). Likewise, the ability to detect and clone autoantigen-specific T cells from blood has allowed further quantification of MOG frequencies, work which demonstrated an increase in MOG-specific T cells in MS patients in comparison to healthy individuals (Raddassi et al., 2011).

ALSO: Immune Pathogenesis Until recently, there were discussions as to whether MS is a primary degenerative disease with secondary inflammation or an autoimmune disease with immune-mediated destruction of the CNS. The sharing of almost half of the allelic variants between MS and other autoimmune disorders from the GWAS has to a large extent provided convincing evidence for an autoimmune pathophysiology for the disease (Hafler, 2012). Our current understanding of MS strongly implicates involvement of the immune system and autoreactive proinflammatory T cells that are critical to the propagation of CNS tissue injury.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Antibody,Strong,Autoimmune,Multiple sclerosis,Disseminated sclerosis,S,24700007,374919,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6442006/,Wallin 2019,P,"308.1 to 310.1 cases per 100,000", Prevalence in over-18 population ,308.1,310.1," 100,000 "," 798,903 "," 804,089 "," 801,496 ", 240.5 ,,"Autoantigen-specific T cells have been identified both in healthy individuals and in patients with MS. Their entrance into the inflamed CNS environment is likely mediated by the immune mechanisms posited above, whereupon entering, the autoreactive T cells are able to subsequently contribute to myelin destruction and axonal damage in addition to secondary inflammation following activation by local antigen-presenting cells. Attention has been directed towards uncovering frequencies of autoantigen-specific T cell binding to myelin proteins including MOG, MBP, and proteolipid in addition to heat shock protein αB-crystallin and oligodendroglia-specific enzyme transaldolase in CD4+ cells isolated from MS patients (Banki et al., 1994; Greer and Pender, 2008). Anti-MOG has previously been isolated from postmortem CNS tissue in MS patients (O'Connor et al., 2005). In an assay based on self-assembly of radiolabeled MHC tetramers, it was demonstrated that such tetramers were more sensitive for MOG autoantibody detection. Nevertheless, MOG-specific autoantibodies were found more so in patients with acute disseminated encephalomyelitis, than in adults with MS (O'Connor et al., 2007). Likewise, the ability to detect and clone autoantigen-specific T cells from blood has allowed further quantification of MOG frequencies, work which demonstrated an increase in MOG-specific T cells in MS patients in comparison to healthy individuals (Raddassi et al., 2011).

ALSO: Immune Pathogenesis Until recently, there were discussions as to whether MS is a primary degenerative disease with secondary inflammation or an autoimmune disease with immune-mediated destruction of the CNS. The sharing of almost half of the allelic variants between MS and other autoimmune disorders from the GWAS has to a large extent provided convincing evidence for an autoimmune pathophysiology for the disease (Hafler, 2012). Our current understanding of MS strongly implicates involvement of the immune system and autoreactive proinflammatory T cells that are critical to the propagation of CNS tissue injury.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Antibody,Strong,Autoimmune,Multiple sclerosis,Schilders disease,T,49692006,376970,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Multiple sclerosis,"Systemic sclerosis, diffuse",T,128460000,4027727,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Multiple sclerosis,Relapsing-remitting multiple sclerosis,T,426373005,4145049,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Multiple sclerosis,Primary progressive multiple sclerosis,T,428700003,4178929,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Myasthenia gravis,MG,A,91637004,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Myasthenia gravis,Myasthenia gravis,N,91637004,76685,"Myasthenia gravis is a neuromuscular disorder characterized by muscle weakness and fatigue. It occurs when the antibodies block the junction between the nerve and skeletal muscles, which are responsible for voluntary body movements.",https://pubmed.ncbi.nlm.nih.gov/15052614/,Keesey 2004,P,"15.0 to 20.0 cases per 100,000",By reference,15,20," 100,000 "," 49,995 "," 66,660 "," 58,328 ", 17.5 ,Acetylcholine receptors,"AChR antibodies were first detected by means of a radioimmunoprecipitation assay (RIA) employing 125I α-bungarotoxin, which binds strongly to AChRs, to label AChRs in detergent extracts of human muscle (Lindstrom et al., 1976). Modern RIAs employ AChRs extracted from muscle cell lines expressing mixtures of fetal and adult AChRs (Beeson et al., 1996). Directly radiolabeled recombinant MuSK are used for detection of MuSK antibodies (Matthews et al., 2004). Enzyme-linked immunosorbent assays are not as sensitive or as specific. Cell-based assays (CBAs) use cells transfected with DNA(s) for the antigen of interest and expressed on the cell surface. Indirect immunofluorescence can then detect binding of patients' antibodies. This method is sensitive and, importantly, measures antibodies that only bind to extracellular determinants of the antigen (Leite et al., 2010). This was demonstrated in previously seronegative cases using cells transfected with AChR subunits and with the scaffold protein rapsyn that clusters the AChRs (Leite et al., 2008). CBAs have also been developed to detect MuSK or Lrp4 antibodies (Leite et al., 2008; Higuchi et al., 2011).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Antibody,Strong,Autoimmune,Myasthenia gravis,Acquired myasthenia,S,91637004,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Myasthenia gravis,Autoimmune myasthenia gravis,S,91637004,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Myelin oligodendrocyte glycoprotein antibody-associated disease,Polyneuropathy associated with monoclonal immunoglobulin M antibodies to myelin-associated glycoprotein,S,718213001,37397549,,https://onlinelibrary.ectrims-congress.eu/ectrims/2019/stockholm/278755/eoin.flanagan.the.epidemiology.of.myelin.oligodendrocyte.glycoprotein.antibody.html,Flanagan 2019,P,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Myelin oligodendrocyte glycoprotein antibody-associated disease,MOG,A,1237194006,,,,,,,,,,,0,0,0, -   ,,,
