Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Musculoskeletal,Relapsing polychondritis,Relapsing polychondritis,N,,,72275000,4216873,"Relapsing polychondritis (RP) occurs when the immune system attacks cartilage and other related tissues in the body, causing inflammation and tissue damage. Though the disease is frequently characterized through ears, nose, and joint symptoms, it is a multi-systemic disease. Episodes may last several days to weeks and typically resolve without treatment. 

In cases where the cartilage is not visible, RP can cause heart valve abnormalities, kidney disease, neurological problems, gastrointestinal problems.  ",https://ard.bmj.com/content/58/10/656
Musculoskeletal,Relapsing polychondritis,Atrophic polychondritis,S,,,72275000,4216873,,https://ard.bmj.com/content/58/10/656
Musculoskeletal,Relapsing polychondritis,Meyenburg-Altherr-Uehlinger syndrome,S,,,72275000,4216873,,https://ard.bmj.com/content/58/10/656
Musculoskeletal,Relapsing polychondritis,Systemic chondromalacia,S,,,72275000,4216873,,https://ard.bmj.com/content/58/10/656
Nervous System,Episcleritis,Episcleritis,N,,,815008,4218083,"Episcleritis is an inflammation of the white tissue, the sclera, that surrounds most of the eye. Though scleritis is a symptom of a number of autoimmune diseases, it is suspected of being an autoimmune disease itself.  ",
Blood,Warm autoimmune hemolytic anemia,Warm autoimmune hemolytic anemia,N,,,3978000,4219853,"Warm autoimmune hemolytic anemia is caused when a person's antibodies attack and destroy their red blood cells.  Unlike <a href=""/Disease_Profile/cold-agglutinin-disease.aspx"">cold agglutinin disease</a>, the autoimmune destruction of cells occurs when a person's body temperature is normal or above normal.  It leads to low red blood cell levels in the body.  

Some cases of this disease are caused by medications and are not autoimmune.  ",
Skin,Autoimmune urticaria and/or angioedema,Autoimmune urticaria and/or angioedema,N,,,402402005,4221673,"Both <a href=""/Disease_Profile/autoimmune-urticaria.aspx"">autoimmune urticaria</a> and <a href=""/Disease_Profile/autoimmune-angioedema.aspx"">autoimmune angioedema</a> are skin conditions associated with other autoimmune diseases. Urticaria is marked by raised, itchy, and red or pale areas, known as hives. Angioedema is swelling in skin and mucous membranes, including the mouth and throat, and is a more serious condition than urticaria. 

While they are also diseases on their own, patients will receive a diagnosis of a chronic version of the disease because the ICD coding system used in the medical record does not have codes for either disease. The SNOMED coding system (used in Europe) has a code for each condition, and for this combined term.
",autoantibodies against TG and thyroid peroxidase
Skin,Autoimmune urticaria,Autoimmune urticaria,N,,,402397006,4224623,"Autoimmune urticaria occurs when the immune system attacks the normal tissues of the body, resulting in hives. The condition becomes chronic when the lesions persists longer than 6 weeks. Chronic autoimmune urticaria has been found to be associated with autoimmune thyroid disease.

Urticaria can also be caused by allergic reaction to plants like poison ivy, dyes found in clothing, and cosmetics. An allergic reaction is not an autoimmune disease because there is no involvement by the adaptive immune system and auto-antibodies that attack your own cells are not involved. There are antibodies (IgE antibodies), but they target the invading molecules (e.g., poison ivy), not the cells in the skin. In autoimmune urticaria, the antibodies created are attacking the skin itself, not an invading molecule. ",autoantibodies against TG and thyroid peroxidase
Skin,Autoimmune angioedema,Autoimmune angioedema,N,,,402401003,4224624,"Angioedema is swelling of the tissue just beneath the skin, including the face, lips, tongue, limbs, or genitals. People with Autoimmune Angioedema can have edema of the lining of the digestive tract, which can cause abdominal pain and nausea, as well as edema of the upper airway, which can be life-threatening. ",
Vascular system,Raynaud's phenomenon,Secondary Raynaud's phenomenon,N,,,356198000,4229162,"In secondary Raynaud's phenomenon, blood flow to the fingers and toes is limited, causing cold extremities and sometimes pain. The condition is made worse by cold temperatures. The amount of time that these extremities stay cold can vary.  

Secondary Raynaud's is a symptom experienced (and reported) by patients with autoimmune diseases.  Primary Raynaud's is when the symptoms appear without any other disease.  Therefore, primary Raynaud's is not an autoimmune disease.  However, a person suffering from Raynaud's could have an undiagnosed autoimmune disease.",
Blood,Immune thrombocytopenia,Autoimmune thrombotic thrombocytopenic purpura,T,,,438476003,4230266,,
Musculoskeletal,Enthesitis,Enthesitis,N,,,359643005,4231746,"Enthesitis-related arthritis is diagnosed when rheumatoid arthritis affects the entheses, the connective tissue between a tendon or ligament and a bone.  Enthesitis affects about 15% of patients with juvenile arthritis.",
Glands,Graves' disease,Graves' disease,N,,,353295004,4232076,"Graves' disease is an autoimmune thyroid disorder that affects the thyroid gland.  The thyroid is responsible for producing hormones that regulate processes involved with energy storage and consumption (metabolism), including maintenance of weight, breathing, heart rate, and temperature. In Graves' disease, antibodies cause the thyroid to enlarge and to produce hormones, even when the body doesn't need them.  Excessive thyroid hormone production disrupts the regulation of metabolism.  The heart, skin, muscles, eyes, and other organs can be affected.  Patients often experience loss of weight, tiredness, and heat sensitivity.  Some patients develop Graves' ophthalmopathy, a subtype of Graves' disease characterized by protruding eyes. The cause of the disease is uncertain, but risk may increase with excessive stress, certain genes, infection, pregnancy, other autoimmune disorders, and smoking.  Graves' disease is more common in females than in males.  Graves' disease is a chronic condition with no cure, but symptoms are manageable through medication and surgery. ",Thyrotropin receptor
Nervous System,Cogan's syndrome,Cogan's syndrome,N,,,405810005,4233620,"Cogan syndrome is a rare disease characterized by inflammation of the ears and eyes.  It is characterized as a rheumatic disease because it involves inflamation.  Specifically, when blood vessels are involved, it is characterized as a form of vasculitis. Cogan syndrome can lead to vision difficulty, hearing loss and dizziness. ",DEP1/CD148 is the pathogenetically relevant autoantigen
Systemic,Eaton-Lambert syndrome,Eaton-Lambert syndrome,N,,,56989000,4237155,"Lambert-Eaton myasthenic syndrome is a chronic autoimmune disorder characterized by the body's immune system attacking tissue at the junction where nerves and skeletal muscles meet. The resulting inflammation and damage prevent the nerve cells from sending messages to muscle cells leading to muscle loss and weakness. LEMS has two types: one is LEMS triggered by small cell lung cancer, and the other starts spontaneously (idiopathic) without the presence of lung cancer. ",
Systemic,Eaton-Lambert syndrome,Lambert-Eaton myasthenic syndrome,S,,,56989000,4237155,,
Heart,Postmyocardial infarction syndrome,Postpericardiotomy pericarditis,T,,,58600007,4239311,,
Skin,Hidradenitis suppurativa,Hidradenitis suppurativa,N,,,59393003,4241223,"Hidradenitis suppurativa (HS) is a chronic condition featuring painful boil-like lumps (called abscesses) that develop under the skin when hair follicles become blocked and inflamed. The lumps can break open and leak pus and blood. They can leave thick scars and tunnels (called sinus tracts) under the skin. The lumps are usually found in the armpit or groin areas, but they can occur any place where hair grows or where skin rubs together (such as between the thighs or under the breasts). Some people only have mild or moderate cases of hidradenitis suppurativa. For others, the symptoms can be severe, affecting multiple areas of their bodies and leading to scarring and pain that can make it difficult to move. There are indications that HS is an autoimmune disease, but to date, no conclusive evidence has been published.  ",
Digestive system,Celiac disease,Adult form of celiac disease,T,,,91867008,4241413,,
Skin,Cutaneous mastocytosis,Cutaneous mastocytosis,N,,,397012002,4246283,"Cutaneous mastocytosis is caused when too many mast cells accumulate in the skin. It is not an autoimmune disease, but a disease of the immune system, specifically mast cells. Mast cells transport histamine, which is involved in allergic responses.  

When mastocytosis is not limited to the skin, it is called systemic mastocytosis, and is a more severe form of the disease.",
Systemic,Systemic mast cell disease,Systemic mast cell disease,N,,,397016004,4246284,"Systemic mastocytosis is caused when too many mast cells accumulate in the body. It is not an autoimmune disease, but a disease of the immune system, specifically mast cells. Mast cells transport histamine, which is involved in allergic responses.  

When mastocytosis is limited to the skin, it is called cutaneous mastocytosis, and is a less severe form of the disease.",
Nervous System,Acute disseminated encephalomyelitis,Acute hemorrhagic leukoencephalitis,T,,,72986009,4249574,,See ADEM
Nervous System,Acute disseminated encephalomyelitis,Hurst's disease,S,,,72986009,4249574,,See ADEM
Nervous System,Acute disseminated encephalomyelitis,Weston-Hurst syndrome,S,,,72986009,4249574,,See ADEM
Heart,Subacute bacterial endocarditis,Subacute bacterial endocarditis,N,,,73774007,4249899,"Subacute bacterial endocarditis (SBE) is a type of bacterial endocarditis. Endocarditis is an infection of the inner lining of your heart chambers and heart valves (the endocardium).  In SBE, the lining inside the heart valves become infected. 

SBE is not an autoimmune disease, but patients are at increased risk of developing autoimmune disease following SBE. 

This condition most frequently occurs following surgery to a region of the body infected with streptococcal bacteria.  Invasive surgery in the infected tissue facilitates the spread of the bacteria to the heart valves by way of the blood.  The infection normally develops slowly during the two weeks after surgery and may persist for months.  SBE typically only occurs in patients who already have damage to their heart valves from other health conditions.  SBE is difficult to diagnosis because initial symptoms consist almost exclusively of feelings of malaise, which are also common in many other disorders.  SBE may trigger the onset of autoimmune conditions, such as vasculitis. If left untreated, complications can be fatal; however, positive outcomes are expected with early medical care.",
Musculoskeletal,Juvenile Rheumatoid Arthritis,Juvenile Rheumatoid Arthritis,N,,,410795001,4253901,"Juvenile rheumatoid arthritis is a pediatric disorder affecting the joints. Damage occurs when immune cells penetrate the lining of the joints, causing inflammation. Patients typically experience joint pain and swelling, which may occur in a flare/remission pattern. Some subtypes have strong evidence of being autoimmune. The condition is diagnosed through exclusion, when joint inflammation lasts more than 6 weeks in a patient 16 years-old or younger and cannot be positively diagnosed with another condition. 

There are 7 types of juvenile arthritis: <br>
<li>1.	<b>Systemic juvenile idiopathic arthritis</b> occurs in at least one joint accompanied by fever for 2 weeks or longer. Other possible symptoms include rash or enlargement of the lymph nodes, liver, or spleen.</li>
<li>2.	<b>Oligoarticular juvenile arthritis</b> (oligoarthritis) occurs in not more than 4 joints in the 6 months following disease onset. After this point, the condition may remain stable (persistent oligoarthritis), or it may spread to additional joints (extended oligoarthritis). The eyes may also be affected.</li>
<li>3.	<b>Rheumatoid factor positive polyarticular juvenile idiopathic arthritis</b> (polyarthritis and rheumatoid factor positive are alternative terms) has symptoms similar to adult rheumatoid arthritis but occurs in children. Patients typically experience arthritis in a minimum of 5 joints in the 6 months following disease onset. Blood tests reveal the presence of rheumatoid factors, a type of autoimmune antibody. The evidence suggests strongly that this subtype is autoimmune. </li>
<li>4.	<b>Rheumatoid factor negative polyarticular juvenile idiopathic arthritis</b> (polyarthritis and rheumatoid factor negative are alternative terms) is marked by the same symptoms as patients with rheumatoid factor positive. The negative variety is distinguished from the positive variety by an absence of rheumatoid factors in the blood. </li>
<li>5.	<b>Psoriatic juvenile idiopathic arthritis</b> causes both arthritis and red skin rashes with white scaling (psoriasis). Irregularities in the fingers, nails, or eyes may also occur.</li>
<li>6.	<b>Enthesitis-related juvenile idiopathic arthritis</b> causes discomfort where the bone joins with other tissues, such as tendons and ligaments. Irritation is frequent in the hips, knees, and feet. Tissue besides the joints may also become inflamed. </li>
<li>7.	<b>Undifferentiated arthritis</b> describes patients whose symptoms are not compatible with the other 6 categories of juvenile arthritis, or whose presentation includes symptoms from multiple categories.</li>
Some patients experience full relief from symptoms with medical attention, while others experience relapses throughout life. Treatments are available to control symptoms and improve function.",
Nervous System,Complex regional pain syndrome,Complex regional pain syndrome type II,T,,,408751001,4256912,,
Musculoskeletal,Juvenile Rheumatoid Arthritis,Juvenile idiopathic arthritis,S,,,410795001,4259507,,
Skin,Pemphigus,Brazilian pemphigus foliaceus,T,,,46459009,4262682,,Desmogleins 
Kidney,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane nephritis,S,,,62853008,4267717,,
Kidney,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane tubulointerstitial nephritis,S,,,62853008,4267717,,
Vascular system,Rheumatoid vasculitis,Rheumatoid vasculitis,N,,,400054000,4271003,"Rheumatoid vasculitis (RV) is a rare autoimmune disorder affecting a small number of patients with rheumatoid arthritis, which causes inflammation and damage to the blood vessels.  Vessels in any part of the body may be affected, though large blood vessels are less likely to be impacted than medium or small blood vessels.  RV most often develops in patients who have suffered from rheumatoid arthritis for 10 to 14 years.  Patients often experience feelings of malaise, sores on the legs, severely decreased blood flow to the fingers and toes, nerve problems, and eye aggravation.  The cause of RV is uncertain, though smoking is believed to significantly increase risk.  Complications involving the organs may be fatal.  Available treatments have mixed success, and prognosis remains poor.",
Skin,Pemphigus,Pemphigus erythematosus,T,,,36739006,4279526,,Desmogleins 
Glands,Autoimmune thyroiditis,Autoimmune thyroiditis,N,,,66944004,4281109,"Autoimmune thyroiditis is a chronic disorder where the immune system creates antibodies that attack the thyroid and cause inflammation. This inflammation may initially cause excess release of thyroid hormones (hyperthyroidism ) but over time, this damage leads to insufficient thyroid hormone production (hypothyroidism), causing fatigue, weight gain, and depression. Genetic and environmental factors may play a role in the development of this disorder. There is no cure, but hormone treatments are available to manage symptoms.  

Several names are used for autoimmune thyroiditis. When it is known to be autoimmune, it is called Hashimoto's when the thyroid gland is enlarged (called a goiter), and (less commonly) Ord's thyroiditis, when the thyroid gland shrinks.",
Skin,Psoriasis,Guttate psoriasis,T,,,37042000,4284492,,
Kidney,SLE glomerulonephritis syndrome,SLE glomerulonephritis syndrome,N,,,68815009,4285717,"Lupus nephritis is a complication in patients with systemic lupus erythematosus (SLE), an autoimmune condition causing inflammation of the body's tissues.  Lupus nephritis targets the kidneys, causing damage and inflammation, which prevents normal function and may lead to kidney failure.  Significant delay or lack of treatment can be fatal, but early medical care can manage symptoms and result in a good prognosis.",
Kidney,SLE glomerulonephritis syndrome,Lupus nephritis,S,,,68815009,4285717,,
Vascular system,Temporal arteritis,Temporal arteritis,N,,,400130008,4290976,"Temporal arteritis, also known as giant cell arteritis, is an inflammation of the lining of the arteries that typically affects the arteries in the head. Temporal arteritis can frequently cause headaches, scalp tenderness, jaw pain and vision problems.",
Vascular system,Temporal arteritis,Cranial arteritis,S,,,400130008,4290976,,
Vascular system,Temporal arteritis,GCA,A,,,400130008,4290976,,
Vascular system,Temporal arteritis,Giant cell arteritis,S,,,400130008,4290976,,
Vascular system,Temporal arteritis,Horton's disease,S,,,400130008,4290976,,
Skin,Pemphigus,Pemphigus paraneoplastica,T,,,402718003,4291435,,Desmogleins 
Vascular system,Urticarial vasculitis,Urticarial vasculitis,N,,,402656007,4292532,"Autoimmune urticaria occurs when the immune system attacks the normal tissues of the body, resulting in hives. The condition becomes chronic when the lesions persists longer than 6 weeks. Chronic autoimmune urticaria has been found to be associated with autoimmune thyroid disease.

Urticaria can also be caused by allergic reaction to plants like poison ivy, dyes found in clothing, and cosmetics. An allergic reaction is not an autoimmune disease because there is no involvement by the adaptive immune system and auto-antibodies that attack your own cells are not involved. There are antibodies (IgE antibodies), but they target the invading molecules (e.g., poison ivy), not the cells in the skin. In autoimmune urticaria, the antibodies created are attacking the skin itself, not an invading molecule. 
",
Skin,Cutaneous lupus erythematosus,Discoid lupus erythematosus of oral mucosa,S,,,403495008,4295301,,
Nervous System,Ligneous conjunctivitis,Ligneous conjunctivitis,N,,,403435005,4296491,"Ligneous conjunctivitis is a rare, chronic form of conjunctivitis that starts in adulthood. A genetically caused form of the disease can occur in childhood, but these cases are not autoimmune.  Patients with ligneous conjunctivitis have large, inflamed, woody growths on the inside of the eyelid and potentially whites of the eye.  These growths may also occur in the mouth, ears, respiratory tract, and genitourinary tract. The inflamed growths are likely to come back after they have been removed. If untreated, ligneous conjunctivitis can lead to vision loss and sometimes life-threatening pulmonary complications.   ",
Musculoskeletal,Schnitzler syndrome,Schnitzler syndrome,N,,,402415001,4297647,"Schnitzler syndrome is a disease in which periodic episodes of inflammation occur. It is considered an autoinflammatory disease, not an autoimmune disease, because the immune system does not mistakenly attack healthy cells. Instead, Schnitzler syndrome is believed to arise from a problem with the immune system itself. It is uncertain what causes Schnitzler syndrome, but it does not appear to be hereditary.

Patients with Schnitzler syndrome typically experience chronic rash, relapsing fevers, pain and inflammation in the joints, enlarged lymph nodes, and an excess of certain proteins in the blood.  The condition is chronic, generally without worsening, though 10-15% of people with Schnitzler syndrome experience cancerous or non-cancerous overproduction of certain types of white blood cells. There is no cure, but treatments may relieve symptoms in some individuals.   ",
Skin,Bullous pemphigoid,Bullous pemphigoid,N,,,77090002,4298692,"Bullous pemphigoid is a rare, autoimmune, chronic skin disorder characterized by blistering. This disorder occurs most frequently in elderly people. Generalized blistering occurs in and under the upper layers of the skin and usually subsides spontaneously within several months or years. In some rare cases of Bullous pemphigoid, complications such as pneumonia may develop.","The autoantibodies in BP sera are predominantly of IgG1 and IgG4, IgE autoantibodies to BP180"
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,Churg-Strauss syndrome,T,,,82275008,4305666,,
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,Eosinophilic granulomatosis with polyangiitis,T,,,722191003,4305666,,
Glands,Polyglandular autoimmune syndrome type 2,Polyglandular autoimmune syndrome type 2,N,,,83728000,4308266,"APS-2 is an overlap disease that may include Addison's disease, thyroid diseases (Graves disease, Hashimoto's thyroiditis), and diabetes mellitus type 1 ",
Skin,Herpes gestationis,Herpes gestationis,N,,,86081009,4311256,"This disease is a rare autoimmune disease that affects the skin of pregnant women. Patients experience a rash accompanied by blisters and extreme itching on the abdomen or limbs, which may spread elsewhere. Onset is sudden, often occurring during the second and third trimester.  It is common for the condition to go into remission at the end of pregnancy and then to relapse during birth. Most patients experience full recovery within 6 months of giving birth, though some have reported that symptoms may last for years. The condition is uncomfortable but does not put the patient at risk.  Treatments are available to manage symptoms as needed. ",
Skin,Herpes gestationis,Gestational pemphigoid,S,,,86081009,4311256,,
Skin,Alopecia areata,Alopecia Universalis,T,,,86166000,4312756,,
Skin,Acute lichenoid pityriasis,Acute lichenoid pityriasis,N,,,86487001,4314705,"Pityriasis lichenoides et varioliformis acuta (PLEVA) is the acute form of an inflammatory skin condition called pityriasis lichenoides. People with PLEVA may develop a few to more than one hundred scaling papules which may become filled with blood and/or pus or erode into crusted red-brown spots. Papules may itch or burn, and some people may experience fever or joint pain. Although PLEVA may occur at any age (including infancy), it most commonly affects children and young adults. ",
Skin,Acute lichenoid pityriasis,Mucha-Habermann disease,S,,,86487001,4314705,,
Skin,Acute lichenoid pityriasis,Pityriasis lichenoides et varioliformis acuta,S,,,86487001,4314705,,
Vascular system,Linear IgA dermatosis,Linear IgA dermatosis,N,,,95330001,4317262,Linear IgA disease causes blisters to form deep in the skin. It can affect the skin and mucus membranes such as the mouth and genitals. Its name comes from the image produced during a skin biopsy in which a line of IgA antibodies can be found just below the outer layer of skin (the epidermis). ,
Vascular system,Linear IgA dermatosis,Linear IgA disease,S,,,95330001,4317262,,
Nervous System,Tolosa-Hunt syndrome,Tolosa-Hunt syndrome,N,,,95794005,4317989,"Patients with Tolosa-Hunt syndrome experience episodes of severe headaches surrounding the eyes, along with restricted eye movement that is painful (ophthalmoplegia). Normally, only one eye is affected and will frequently appear protruded. Symptoms may also include nerve abnormalities, such as eyelid drooping, double vision, large pupil, and numbness of the face. This disorder typically occurs in relapsing flares. The cause of Tolosa-Hunt syndrome is unknown but is associated with the inflammation within the eyes and may be autoimmune.",
Nervous System,Autoimmune encephalitis,Autoimmune encephalitis,N,,,95643007,4318558,"Autoimmune encephalitis occurs when the body's immune system attacks healthy brain cells, causing neurologic and/or psychiatric impairments. 
",
Skin,Cutaneous lupus erythematosus,Cutaneous lupus erythematosus,N,,,7119001,4324123,"Discoid lupus erythematosus, also referred to as DLE, is a chronic but localized skin condition where sores (lesions) form on the scalp, face, elbow, or fingertips. In DLE, the autoimmune system attacks connective tissue. The lesions are red, inflamed patches with a scaling and crusting appearance. If present in areas with a significant amount of hair, the lesions can cause scarring and hair loss in that area. Because the symptoms are similar to other skin diseases and other types of lupus, a skin biopsy must be performed to confirm a diagnosis.  The primary difference between discoid lupus erythematosus (DLE) and systemic lupus erythematosus (SLE) is that DLE mainly affects the skin, while SLE also affects the organs, such as the heart, blood vessels, nervous system, and kidneys. Patients can have both DLE and SLE. ",
Musculoskeletal,Lipomatosis dolorosa,Lipomatosis dolorosa,N,,,71404003,4324974,"Adiposis dolorosa is characterized by the slow formation of multiple, painful growths consisting of fatty tissue (lipomas) that are found just below the surface of the skin. Pain may vary from mild discomfort when a growth is pressed or touched to severe pain that is disproportionate to the physical findings.",
Nervous System,Birdshot chorioretinopathy,Birdshot chorioretinopathy,N,,,231981005,4334133,Birdshot retinochoroidopathy is an extremely rare eye disease that is caused by an autoimmune reaction targeting the choroid and retina. ,
Nervous System,Birdshot chorioretinopathy,Birdshot chorioretinitis,S,,,231981005,4334133,,
Nervous System,Birdshot chorioretinopathy,Birdshot retinopathy,S,,,231981005,4334133,,
Nervous System,Autoimmune disorder of inner ear,Autoimmune disorder of inner ear,N,,,232308006,4337463,"Autoimmune inner ear disease (AIED) is a condition characterized by inflammation of the inner ear. It happens when the immune system mistakenly targets cells in the inner ear as if they were a virus or bacteria. AIED is uncommon, affecting fewer than one percent of the 28 million Americans with hearing loss. The symptoms of AIED are sudden hearing loss in one ear progressing rapidly to the second ear. The hearing loss can progress over weeks or months. It can happen alone or in addition to other systemic autoimmune disorders.",inner ear-specific IFN-γ producing T cells
Digestive system,Microscopic colitis,Microscopic colitis,N,,,235753003,4340799,"Microscopic colitis occurs with severe inflammation of the large intestine, or the colon. It results in persistent and watery diarrhea. Microscopic colitis can''t be identified with a colonoscopy, so tissue samples from the colon must be examined under a microscope. There are three different subtypes:<br> 
<li>1. <b>Collagenous colitis</b> results from a thick layer of the protein collagen developing in the tissue.</li>
<li>2. <b>Lymphocytic colitis</b> results from an increase in white blood cells in the tissue. </li>
<li>3. <b>Incomplete microscopic colitis</b> is a combination of collagenous and lymphocytic colitis. </li>
It is under debate whether collagenous and lymphocytic colitis are different phases of the same condition. ",
Digestive system,Autoimmune gastritis,Autoimmune enteropathy,S,,,235728001,4341626,"Autoimmune enteropathy is an extremely rare disease characterized by diarrhea that does not respond to treatment and may require intravenous feeding to sustain the patient. It is diagnosed most frequently in infants, and it is marked by the presence of antibodies to the enzyme tryptophan hydroxylase, which performs a number of functions in human biology,  Autoimmune enteropathy is increasingly being diagnosed in adults, but the symptoms are the same as many more common diseases, so correct diagnosis is difficult.   It is more frequently diagnosed in patients already diagnosed with other autoimmune diseases such as autoimmune polyendocrine syndrome 1.",antibodies to tryptophan hydroxylase
Digestive system,Autoimmune gastritis,Autoimmune gastritis,N,,,84568007,4341626,"Inflammation of the lining of the stomach that can occur suddenly or gradually. In some cases, gastritis may lead to ulcers or stomach cancer.",antibodies to tryptophan hydroxylase
Skin,Cutaneous lupus erythematosus,Subacute cutaneous lupus erythematosus,T,,,239891002,4343923,,
Systemic,Undifferentiated connective tissue disease,Undifferentiated connective tissue disease,N,,,239918008,4344165,"Patients of undifferentiated connective tissue disease (UCTD) share some, but not all, symptoms with other connective tissue diseases, such as systemic lupus erythmatosus, systemic sclerosis, dermatomyositis, polymyositis, rheumatoid arthritis, Sjogren's syndrome, and antiphospholipid syndrome.  UCTD is diagnosed when a patient has a positive serum ANA test and shows stable symptoms for a minimum of 3 years.  UCTD is distinct from the other above-mentioned diseases in that the condition remains stable over time without worsening. 30% of patients diagnosed with UCTD will be given a new diagnosis because their disease will not remain stable.  ",
Systemic,Adult onset Still's disease,Adult onset Still's disease,N,,,239920006,4344166,"Adult onset Still's disease (AoSD) is a rare form of inflammatory arthritis that affects the entire body, impacting joints and organs. Typically affecting individuals over the age of 16, patients often endure bouts of elevated fever, joint discomfort, and skin rash. Blood tests commonly indicate elevated white blood cell counts. Despite extensive research, the exact cause of AoSD remains elusive, with uncertainty over whether it stems from autoimmune or autoinflammatory origins. The disease's progression varies widely among patients; while some experience sudden onset followed by swift and complete recovery, others contend with chronic manifestations or symptom flare-ups alternating with periods of remission. AoSD bears a resemblance to systemic juvenile rheumatoid arthritis, differing primarily in the age of onset. Although a definitive cure remains elusive, treatment options exist to manage inflammation and mitigate potential organ damage. There are three main patterns of the clinical course of AoSD namely monophasic, intermittent, and chronic. There is an approximately equal distribution in each category however some studies have shown a chronic articular pattern to be more common.",antibodies to cyclic citrullinated peptides
Musculoskeletal,Chronic multifocal osteomyelitis,Chronic multifocal osteomyelitis,N,,,240151005,4344376,"Chronic multifocal osteomyelitis (CRMO) occurs due to an immune system attack on the bones, which has not yet been deemed autoimmune or autoinflammatory in nature, which causes periodic episodes of inflammation of the bones. CRMO is a non bacterial type of osteomyelitis that is considered when bacterial options have been ruled out.

CRMO most commonly affects the long bones as well as the pelvis or spine. This disease can also be diagnosed along with inflammatory bowel disease or psoriasis. CRMO usually occurs in children and can cause bone deformities or slow growth in children. Although there is no cure for CRMO, treatments involved medications such as non-steroidal anti-inflammatory medications, antirheumatic drugs, biologics, and more.

Chronic non-bacterial osteomyelitis (CNO) is a rare auto-inflammatory bone disorder with a prevalence of around one in a million patients. In the more severe form, it is referred to as chronic recurrent multifocal osteomyelitis (CRMO). ",Unconfirmed
Vascular system,Lupus vasculitis,Lupus vasculitis,N,,,239944008,4344495,"Lupus vasculitis is an autoimmune complication of lupus erythematosus that occurs when proteins of the immune system enter the walls of the blood vessels, leading to inflammation.  Patients often experience ulcers, red marks, or bumps on the skin.  The spectrum of involvement ranges from relatively mild disease (affecting only small vessels and skin), to life threatening multi-organ disease. Treatments are available to control symptoms.  Early medical attention is necessary in severe cases to prevent lasting damage to the organs.",
Blood,Essential mixed cryoglobulinemia,Essential mixed cryoglobulinemia,N,,,239947001,4347067,"Essential mixed cryoglobulinemia is marked by the presence of abnormal antibodies (cryoglobulins) that clump together and become solid or gel-like at temperatures below normal body temperature (98.6 F).  The exact temperature at which this occurs may vary from one person to another. When these proteins clump together in the bloodstream, they block the flow of blood to joints, muscles, and organs. Eventually, damage or inflammation of affected blood vessels (vasculitis) and surrounding tissue can develop. Cryoglobulinemia is classified as follows: Type I cryoglobulinemia (simple cryoglobulinemia), involves monoclonal immunoglobulin, usually immunoglobulin M (IgM) or, less frequently, immunoglobulin G (IgG), immunoglobulin A (IgA), or light chains. Types II and III cryoglobulinemia (mixed cryoglobulinemia) include rheumatoid factors (RFs) that are usually IgM and rarely IgG or IgA.  Type II involves monoclonal rheumatoid factors; type III involves polyclonal rheumatoid factors. Types II and III cryoglobulinemia represent 80% of all cryoglobulinemias.",
Nervous System,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,N,,,771271000,36674282,"Steroid-responsive encephalopathy associated with autoimmune thyroiditis (SREAT), often called Hashimoto’s encephalopathy, is a rare autoimmune disease that affects both the nervous system and endocrine system. Encephalopathy, or brain dysfunction, resulting from thyroid disease can lead to muscle twitches, seizures, confusion, and even paranoia. The three forms of SREAT are acute, subacute, and chronic. SREAT also ranges in severity, from mild cognitive impairment to life-threatening seizures.",
Nervous System,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Encephalopathy associated with autoimmune thyroid disease,S,,,771271000,36674282,,
Nervous System,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Hashimoto's encephalopathy,S,,,771271000,36674282,,
Liver,Autoimmune hepatitis,Chronic autoimmune hepatitis,T,,,1.60985E+16,36687200,"Autoimmune hepatitis is a condition that occurs when your immune system mistakenly targets and attacks your liver cells, leading to long-term chronic liver inflammation, swelling, and damage. It may occur at any age and typically affects women more than men. It is often linked to other autoimmune diseases. The precise cause of autoimmune hepatitis is not fully understood, but it's believed that a combination of genetic and environmental factors plays a role in initiating the disease over time. When diagnosed and treated promptly, autoimmune hepatitis can often be managed with medications that dampen the immune response. In situations where drug treatments don't work or in advanced liver disease cases, a liver transplant might be considered an option.
",autoantibodies against aromatic L-amino acid decarboxylase (AADC) correlated to type 2 autoimmune hepatitis 
Blood,Autoimmune hemolytic anemia,Autoimmune hemolytic anemia mixed type,T,,,718716008,36713763,"In autoimmune hemolytic anemia, red blood cells are destroyed by antibodies. In some cases, the antibodies are active only when the person is warm, and in other cases, only when the person is cold. In some cases, the antibodies can be active in all 3 situations - when the person's body temperature is normal, cold and warm. There is also a form of hemolytic anemia called paroxysmal nocturnal hemoglobinuria, in which a genetic mutation causes antibodies to cause the same kind of  destruction of red blood cells.

There are other forms of anemia caused by autoimmune disease where ",
